x0,x1,label
26.619879,-15.046414,Anjunabeats
35.02167,-27.239517,Anjunabeats
52.518692,3.4525378,Anjunabeats
48.040195,0.28561693,Anjunabeats
35.27717,19.748514,Anjunabeats
43.52424,-12.029346,Anjunabeats
-22.44,-10.107403,FSOE
-52.906975,0.7135699,FSOE
-50.25132,-3.1308577,FSOE
-54.82936,-6.043738,FSOE
-53.027546,-11.792076,FSOE
-37.289505,2.666072,FSOE
44.233463,8.208302,Anjunabeats
12.074912,-24.185505,Anjunabeats
29.144806,-14.544954,Anjunabeats
43.4351,-4.790232,Anjunabeats
57.309586,2.547914,Anjunabeats
59.117355,-0.58745223,Anjunabeats
-52.02593,-21.267939,FSOE
-5.9332886,-15.778425,FSOE
-25.784521,-9.9510565,FSOE
-17.985136,26.233313,FSOE
-47.545876,-16.154097,FSOE
-53.349804,-14.370974,FSOE
29.325777,46.468094,Armind
2.8375473,31.530447,Armind
18.996891,-2.9390306,Armind
12.367128,39.352497,Armind
13.13775,42.86371,Armind
10.752454,42.738888,Armind
-22.648367,-30.338184,Pure
-13.663378,-16.052006,Pure
-16.510843,-22.417599,Pure
-52.81889,-16.589512,Pure
-28.30039,-33.368637,Pure
-26.154018,14.009992,Pure
-23.647015,-13.429134,Coldharbour
-3.2323902,-1.0011622,Coldharbour
-14.548712,16.559036,Coldharbour
-27.673693,16.575876,Coldharbour
-40.933285,-14.0731325,Coldharbour
-11.31561,6.3751864,Coldharbour
50.485264,-4.0898223,Anjunabeats
32.43116,-25.308264,Anjunabeats
58.395004,-4.052473,Anjunabeats
58.18631,-3.5654643,Anjunabeats
58.240772,-2.1608472,Anjunabeats
46.823288,-14.271563,Anjunabeats
48.602013,-14.590088,Anjunabeats
35.566334,9.038746,Anjunabeats
43.485214,-17.568058,Anjunabeats
35.76229,-1.9362718,Anjunabeats
42.64904,0.4445735,Anjunabeats
42.502502,0.594694,Anjunabeats
-31.12218,-32.582718,Pure
-8.594797,-30.205458,Pure
-39.789185,-31.023455,Pure
-38.795643,-31.72073,Pure
-39.0834,-32.11346,Pure
-39.14478,-32.195976,Pure
-34.30046,-26.05962,FSOE
-32.344627,-22.313126,FSOE
-48.184166,-25.09058,FSOE
-38.43037,-32.21231,FSOE
-55.60715,-25.427402,FSOE
-54.953724,-24.371538,FSOE
-39.956226,33.283817,FSOE
-54.333878,-26.613785,FSOE
-44.654144,5.9868135,FSOE
-22.43696,-28.668573,FSOE
-48.16884,-9.202663,FSOE
-55.15652,-24.678762,FSOE
29.774849,-14.595581,Coldharbour
33.556038,-23.3776,Coldharbour
52.566586,-10.733744,Coldharbour
40.249496,-29.681612,Coldharbour
40.269264,-29.693586,Coldharbour
11.701519,3.027328,Coldharbour
50.601547,-9.270985,Anjunabeats
36.67284,4.4791455,Anjunabeats
34.23993,30.87058,Anjunabeats
45.790096,1.0477638,Anjunabeats
50.412518,-8.866911,Anjunabeats
37.59805,-6.6990013,Anjunabeats
22.801685,-7.8576164,WAO138
27.873665,-8.778416,WAO138
-14.965831,21.684696,WAO138
-35.303104,22.149118,WAO138
-36.382187,21.916285,WAO138
-35.431683,22.381868,WAO138
-21.52779,-6.366652,WAO138
-1.3767267,35.56418,WAO138
-5.8055835,42.496628,WAO138
-5.016569,42.976913,WAO138
-7.538013,27.179674,WAO138
-6.7577834,44.556236,WAO138
-1.4008844,-34.524525,Coldharbour
-2.2241764,-35.370903,Coldharbour
15.918223,-39.860146,Coldharbour
15.399922,-38.832672,Coldharbour
15.086441,-40.12141,Coldharbour
7.44853,-41.377068,Coldharbour
-9.923168,-25.487064,Pure
-24.387714,-30.65333,Pure
-37.804585,-24.695208,Pure
-39.905987,-25.596685,Pure
-35.58272,-24.692247,Pure
-47.329994,-22.882229,Pure
51.054756,4.7666445,Anjunabeats
32.04695,-17.628042,Anjunabeats
52.325787,12.58219,Anjunabeats
56.851994,8.945254,Anjunabeats
56.677654,8.88681,Anjunabeats
55.421513,9.506514,Anjunabeats
-38.297634,10.464134,WAO138
-32.908543,11.637856,WAO138
-15.455035,29.131563,WAO138
-28.452713,21.05074,WAO138
-25.030851,32.519352,WAO138
-35.375015,25.51022,WAO138
-14.404374,34.198307,WAO138
-15.276074,34.253075,WAO138
-19.747189,38.964115,WAO138
-20.635092,30.323343,WAO138
-15.196791,31.952633,WAO138
-37.97879,32.40556,WAO138
-8.739287,-29.397211,Pure
-10.173233,-40.137016,Pure
-22.724478,-40.830997,Pure
-16.883656,-41.601376,Pure
-14.3500805,-41.4877,Pure
