x0,x1,label,bpm,min_maj
-5.4475164,-4.8827662,b'Pure',b'130-',b'Min'
7.868207,-17.6637,b'Anjunabeat',b'130-',b'Min'
7.0902915,-21.9288,b'Anjunabeat',b'130-',b'Min'
12.016381,-21.066704,b'Anjunabeat',b'130-',b'Min'
12.759021,-22.511122,b'Anjunabeat',b'130-',b'Min'
8.036134,-22.242474,b'Anjunabeat',b'130-',b'Min'
10.060332,-9.906948,b'Armind',b'130-',b'Min'
-5.833998,-3.6017265,b'Pure',b'130-',b'Min'
-3.848615,-6.5760384,b'Coldharbou',b'130-',b'Min'
15.225424,-3.8743906,b'Armind',b'130-',b'Min'
-0.3959066,-4.841195,b'Coldharbou',b'131-136',b'Min'
-5.4341273,-7.8058863,b'Coldharbou',b'131-136',b'Min'
10.849797,-21.813997,b'Anjunabeat',b'131-136',b'Min'
-13.8899765,3.5619729,b'Pure',b'131-136',b'Min'
-11.343889,4.4428463,b'Coldharbou',b'131-136',b'Min'
-1.8819133,18.905516,b'WAO138',b'131-136',b'Min'
-18.536007,8.061734,b'FSOE',b'137+',b'Min'
-18.024158,19.220465,b'FSOE',b'137+',b'Min'
-17.651745,17.664785,b'FSOE',b'137+',b'Min'
-21.603197,9.544869,b'Pure',b'137+',b'Min'
-7.937201,18.699434,b'WAO138',b'137+',b'Min'
-18.233393,14.862383,b'FSOE',b'137+',b'Min'
9.099552,-24.875795,b'Anjunabeat',b'130-',b'Maj'
-18.271017,18.167967,b'Pure',b'137+',b'Maj'
6.3401685,-20.575499,b'Anjunabeat',b'130-',b'Min'
7.9149156,-19.863262,b'Anjunabeat',b'130-',b'Min'
15.338983,-1.1787195,b'Armind',b'130-',b'Min'
18.657236,-3.0197494,b'Armind',b'130-',b'Min'
6.4597793,-24.635265,b'Anjunabeat',b'130-',b'Min'
16.706282,-4.407455,b'Armind',b'130-',b'Min'
19.170269,-2.6380432,b'Armind',b'130-',b'Min'
3.3390605,-9.712344,b'Coldharbou',b'131-136',b'Min'
2.884533,-9.091864,b'Coldharbou',b'131-136',b'Min'
16.642351,-3.2893403,b'Armind',b'131-136',b'Min'
12.643507,-3.0228262,b'Armind',b'131-136',b'Min'
14.50698,-1.7962065,b'Armind',b'131-136',b'Min'
-4.500923,-5.9664516,b'Pure',b'131-136',b'Min'
-21.824762,12.620344,b'FSOE',b'137+',b'Min'
-0.71015394,17.539131,b'WAO138',b'137+',b'Min'
-0.56590044,19.129171,b'WAO138',b'137+',b'Min'
-15.872553,15.802103,b'FSOE',b'137+',b'Min'
-12.193679,14.759191,b'FSOE',b'137+',b'Min'
-20.817663,8.23568,b'Pure',b'137+',b'Min'
2.4889572,17.242939,b'FSOE',b'137+',b'Min'
-13.157148,15.932784,b'FSOE',b'137+',b'Min'
-0.6450549,22.272417,b'WAO138',b'137+',b'Min'
15.472411,-6.69592,b'Armind',b'130-',b'Maj'
4.0519247,-4.9409466,b'Anjunabeat',b'130-',b'Maj'
1.6708848,-5.4402623,b'Coldharbou',b'130-',b'Maj'
-20.607668,16.102497,b'FSOE',b'137+',b'Maj'
-19.83311,16.583849,b'WAO138',b'137+',b'Maj'
12.869833,-10.384681,b'Armind',b'130-',b'Min'
7.743162,-10.616129,b'Anjunabeat',b'130-',b'Min'
11.639192,-24.79722,b'Anjunabeat',b'130-',b'Min'
11.427581,-8.333944,b'Anjunabeat',b'130-',b'Min'
5.857822,-24.63801,b'Anjunabeat',b'130-',b'Min'
8.774902,-26.53513,b'Anjunabeat',b'130-',b'Min'
14.518182,-8.654585,b'Armind',b'130-',b'Min'
17.316465,-2.7869594,b'Armind',b'130-',b'Min'
18.076172,-6.0109396,b'Armind',b'131-136',b'Min'
-21.356024,7.690907,b'Pure',b'131-136',b'Min'
-19.430265,11.671156,b'Pure',b'137+',b'Min'
-5.725652,20.173521,b'WAO138',b'137+',b'Min'
-3.4699507,19.115477,b'WAO138',b'137+',b'Min'
-1.7580686,21.308422,b'WAO138',b'137+',b'Min'
-11.110547,17.859892,b'WAO138',b'137+',b'Min'
-0.14301512,20.180342,b'WAO138',b'137+',b'Min'
