,BPM,Genre,Label,Song_name,Key,Artists,Length,Song_file,Length_minutes,Min_or_Maj
0,132,Trance,Coldharbour, Viola (Elevation Extended Remix).mp3,8A , Moogwai ,407.0,8A - 132 - Moogwai - Viola (Elevation Extended Remix).mp3,6.783333333333333,Min
1,132,Trance,Coldharbour, Searching (Daxson Extended Remix).mp3,9A , Markus Schulz Presents Dakota ,410.0,9A - 132 - Markus Schulz Presents Dakota - Searching (Daxson Extended Remix).mp3,6.833333333333333,Min
2,128,Trance,Coldharbour, Opera of Northern Ocean (Nifra Extended Remix).mp3,3A , Rex Mundi ,367.0,3A - 128 - Rex Mundi - Opera of Northern Ocean (Nifra Extended Remix).mp3,6.116666666666666,Min
3,134,Trance,Coldharbour, Fire Which Burns Us All (Extended Mix).mp3,5A , Driftmoon & Robert Nickson Present Astrosphere ,395.0,5A - 134 - Driftmoon & Robert Nickson Present Astrosphere - Fire Which Burns Us All (Extended Mix).mp3,6.583333333333333,Min
4,131,Trance,Coldharbour, Edge of Time (Artento Divini Extended Mix).mp3,5A , Nifra Feat Seri ,353.0,5A - 131 - Nifra Feat Seri - Edge of Time (Artento Divini Extended Mix).mp3,5.883333333333334,Min
5,128,Trance,Coldharbour, Future Sight (Extended Mix).mp3,6A , Dark Matter ,525.0,6A - 128 - Dark Matter - Future Sight (Extended Mix).mp3,8.75,Min
6,132,Trance,Coldharbour, Industry (Extended Mix).mp3,3A , Arkham Knights ,378.0,3A - 132 - Arkham Knights - Industry (Extended Mix).mp3,6.3,Min
7,130,Trance,Coldharbour, Bexley Square (Extended Mix).mp3,7A , Daxson ,301.0,7A - 130 - Daxson - Bexley Square (Extended Mix).mp3,5.016666666666667,Min
8,132,Trance,Coldharbour, Lethal (Extended mix).mp3,6A , Dave Neven ,400.0,6A - 132 - Dave Neven - Lethal (Extended mix).mp3,6.666666666666667,Min
9,124,Trance,Coldharbour, Right In the Night (Soundland Remix).mp3,5A , Jam El Mar Feat Adina Butar,239.0,5A - 124 - Jam El Mar Feat Adina Butar- Right In the Night (Soundland Remix).mp3,3.9833333333333334,Min
10,130,Trance,Coldharbour, First Light (Extended Mix).mp3,10A , Arkham Knights ,457.0,10A - 130 - Arkham Knights - First Light (Extended Mix).mp3,7.616666666666666,Min
11,128,Trance,Coldharbour, Calling for Love (Pavel Khvaleev Extended Remix).mp3,1A , Markus Schulz Feat JES ,420.0,1A - 128 - Markus Schulz Feat JES - Calling for Love (Pavel Khvaleev Extended Remix).mp3,7.0,Min
12,130,Trance,Coldharbour, Memoria (Extended Mix).mp3,8A , Dennis Sheperd & Bjorn Akesson ,465.0,8A - 130 - Dennis Sheperd & Bjorn Akesson - Memoria (Extended Mix).mp3,7.75,Min
13,130,Trance,Coldharbour, Fall From Innocence (Extended Mix).mp3,8A , Arkham Knights ,470.0,8A - 130 - Arkham Knights - Fall From Innocence (Extended Mix).mp3,7.833333333333333,Min
14,130,Trance,Coldharbour,  The Drill (Extended Mix).mp3,8A , Danilo Ercole ,393.0,8A - 130 - Danilo Ercole -  The Drill (Extended Mix).mp3,6.55,Min
15,128,Trance,Coldharbour, Powerball (Extended Mix).mp3,6A , Nifra & Anske ,367.0,6A - 128 - Nifra & Anske - Powerball (Extended Mix).mp3,6.116666666666666,Min
16,132,Trance,Coldharbour, Into The Fire (Extended Mix).mp3,9A , Arkham Knights ,397.0,9A - 132 - Arkham Knights - Into The Fire (Extended Mix).mp3,6.616666666666666,Min
17,134,Trance,Coldharbour, Calling for Love (Extended Mix).mp3,1A , Markus Schulz Feat JES ,551.0,1A - 134 - Markus Schulz Feat JES - Calling for Love (Extended Mix).mp3,9.183333333333334,Min
18,134,Trance,Coldharbour, Meridian (Extended Mix).mp3,4A , Elevation Presents Elara ,438.0,4A - 134 - Elevation Presents Elara - Meridian (Extended Mix).mp3,7.3,Min
19,131,Trance,Coldharbour, Predator vs Prey  (Extended Mix).mp3,8A , Fisherman ,428.0,8A - 131 - Fisherman - Predator vs Prey  (Extended Mix).mp3,7.133333333333334,Min
20,132,Trance,Coldharbour, You Before Me (Extended Mix 2019).mp3,10A , Hazem Beltagui ,360.0,10A - 132 - Hazem Beltagui - You Before Me (Extended Mix 2019).mp3,6.0,Min
21,134,Trance,Coldharbour, Se7en Seconds Until Transfer (Extended Mix).mp3,10A , Arkham Knights ,436.0,10A - 134 - Arkham Knights - Se7en Seconds Until Transfer (Extended Mix).mp3,7.266666666666667,Min
22,132,Trance,Coldharbour, Oldskool (Extended Mix).mp3,5A , Talla 2XLC Vs Pay & White ,356.0,5A - 132 - Talla 2XLC Vs Pay & White - Oldskool (Extended Mix).mp3,5.933333333333334,Min
23,132,Trance,Coldharbour, Existence (Extended Mix).mp3,8A , Arkham Knights ,508.0,8A - 132 - Arkham Knights - Existence (Extended Mix).mp3,8.466666666666667,Min
24,124,Trance,Coldharbour, Illuminate (Extended Mix).mp3,9B , Dylhen ,465.0,9B - 124 - Dylhen - Illuminate (Extended Mix).mp3,7.75,Maj
25,130,Trance,Coldharbour, Love Won't End (Extended Mix).mp3,3B , Anske & Victoriya ,395.0,3B - 130 - Anske & Victoriya - Love Won't End (Extended Mix).mp3,6.583333333333333,Maj
26,135,Trance,Coldharbour, Secret Journey (Extended Mix).mp3,8B , Claus Backslash ,441.0,8B - 135 - Claus Backslash - Secret Journey (Extended Mix).mp3,7.35,Maj
27,135,Trance,Coldharbour, The Spirit Of The Warrior (Davey Asprey Extended Remix).mp3,8A , Markus Schulz Presents Dakota ,357.0,8A - 135 - Markus Schulz Presents Dakota - The Spirit Of The Warrior (Davey Asprey Extended Remix).mp3,5.95,Min
28,132,Trance,Coldharbour, Meraki (Extended Mix).mp3,10A , Dave Neven ,451.0,10A - 132 - Dave Neven - Meraki (Extended Mix).mp3,7.516666666666667,Min
29,130,Trance,Coldharbour, Calling for Love (Marcus Santoro Extended Remix).mp3,1A , Markus Schulz Feat JES ,357.0,1A - 130 - Markus Schulz Feat JES - Calling for Love (Marcus Santoro Extended Remix).mp3,5.95,Min
30,128,Trance,Coldharbour, Travelling (Club Mix).mp3,8A , Dave Neven Presents Ocata ,414.0,8A - 128 - Dave Neven Presents Ocata - Travelling (Club Mix).mp3,6.9,Min
31,130,Trance,Coldharbour, In Search Of Something Better (Anske Extended Remix).mp3,3A , Markus Schulz Presents Dakota ,380.0,3A - 130 - Markus Schulz Presents Dakota - In Search Of Something Better (Anske Extended Remix).mp3,6.333333333333333,Min
32,134,Trance,Coldharbour, Blackcard (Extended Mix).mp3,4A , Daxson ,365.0,4A - 134 - Daxson - Blackcard (Extended Mix).mp3,6.083333333333333,Min
33,130,Trance,Coldharbour, Amigos (Extended Mix).mp3,6A , Dennis Sheperd & Dim3nsion ,382.0,6A - 130 - Dennis Sheperd & Dim3nsion - Amigos (Extended Mix).mp3,6.366666666666666,Min
